"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Delete file","LMS service","Sun Sep 14 18:58:48 UTC 2025","passed","Sun Sep 14 18:58:48 UTC 2025","Delete entity","Files","",""
"","28","Create course","LMS service","Sun Sep 14 18:58:42 UTC 2025","passed","Sun Sep 14 18:58:42 UTC 2025","Create entity","Courses","",""
"","22","Create exercise","LMS service","Sun Sep 14 18:58:44 UTC 2025","passed","Sun Sep 14 18:58:44 UTC 2025","Create entity","Exercises","",""
"","264","Create file with empty filename","LMS service","Sun Sep 14 18:58:48 UTC 2025","passed","Sun Sep 14 18:58:48 UTC 2025","Validate entity","Files","",""
"","546","Create user","LMS service","Sun Sep 14 18:58:49 UTC 2025","passed","Sun Sep 14 18:58:50 UTC 2025","Create entity","Users","",""
"","15","Get file","LMS service","Sun Sep 14 18:58:47 UTC 2025","passed","Sun Sep 14 18:58:47 UTC 2025","Get entity","Files","",""
"","556","Create user","LMS service","Sun Sep 14 18:58:50 UTC 2025","passed","Sun Sep 14 18:58:50 UTC 2025","Create entity","Users","",""
"","285","Login with correct email and password","LMS service","Sun Sep 14 18:58:41 UTC 2025","passed","Sun Sep 14 18:58:41 UTC 2025","Login","Authentication","",""
"","31","Get courses","LMS service","Sun Sep 14 18:58:42 UTC 2025","passed","Sun Sep 14 18:58:42 UTC 2025","Get entities","Courses","",""
"","16","Get exercises","LMS service","Sun Sep 14 18:58:46 UTC 2025","passed","Sun Sep 14 18:58:46 UTC 2025","Get entities","Exercises","",""
"","30","Update course","LMS service","Sun Sep 14 18:58:43 UTC 2025","passed","Sun Sep 14 18:58:43 UTC 2025","Update entity","Courses","",""
"","266","Create file with empty directory","LMS service","Sun Sep 14 18:58:49 UTC 2025","passed","Sun Sep 14 18:58:49 UTC 2025","Validate entity","Files","",""
"","265","Get file with incorrect file id","LMS service","Sun Sep 14 18:58:49 UTC 2025","passed","Sun Sep 14 18:58:50 UTC 2025","Validate entity","Files","",""
"","291","Get exercise","LMS service","Sun Sep 14 18:58:45 UTC 2025","passed","Sun Sep 14 18:58:45 UTC 2025","Get entity","Exercises","",""
"","286","Delete exercise","LMS service","Sun Sep 14 18:58:45 UTC 2025","passed","Sun Sep 14 18:58:46 UTC 2025","Delete entity","Exercises","",""
"","261","Create file","LMS service","Sun Sep 14 18:58:46 UTC 2025","passed","Sun Sep 14 18:58:47 UTC 2025","Create entity","Files","",""
"","21","Update exercise","LMS service","Sun Sep 14 18:58:44 UTC 2025","passed","Sun Sep 14 18:58:44 UTC 2025","Update entity","Exercises","",""
"","287","Create user","LMS service","Sun Sep 14 18:58:50 UTC 2025","passed","Sun Sep 14 18:58:50 UTC 2025","Create entity","Users","",""
"","14","Get user me","LMS service","Sun Sep 14 18:58:51 UTC 2025","passed","Sun Sep 14 18:58:51 UTC 2025","Get entity","Users","",""
